iter	Passed	Remaining
0	10	10502
1	21	10604
2	27	9141
3	33	8362
4	42	8451
5	48	7993
6	55	7870
7	59	7431
8	69	7634
9	75	7514
10	85	7650
11	91	7537
12	98	7451
13	104	7368
14	112	7419
15	118	7312
16	124	7183
17	131	7184
18	136	7053
19	143	7037
20	151	7066
21	156	6961
22	163	6942
23	173	7043
24	181	7086
25	189	7092
26	195	7033
27	201	7012
28	208	6986
29	217	7030
30	221	6939
31	228	6915
32	237	6958
33	242	6879
34	251	6946
35	258	6918
36	266	6945
37	276	7010
38	284	6999
39	293	7045
40	299	7011
41	307	7013
42	317	7066
43	323	7023
44	331	7037
45	338	7012
46	344	6981
47	355	7044
48	360	6999
49	366	6961
50	372	6939
51	380	6939
52	390	6981
53	395	6928
54	402	6919
55	409	6908
56	423	7002
57	428	6955
58	434	6934
59	440	6897
60	446	6878
61	453	6858
62	461	6857
63	466	6825
64	474	6829
65	480	6801
66	485	6756
67	494	6774
68	498	6725
69	505	6709
70	512	6706
71	518	6680
72	525	6668
73	531	6651
74	539	6648
75	544	6624
76	551	6614
77	559	6609
78	563	6572
79	570	6559
80	577	6554
81	583	6527
82	588	6502
83	591	6449
84	594	6402
85	597	6353
86	600	6306
87	604	6261
88	606	6211
89	610	6168
90	613	6123
91	615	6075
92	618	6031
93	620	5983
94	623	5936
95	625	5890
96	628	5846
97	630	5803
98	633	5761
99	635	5721
100	638	5680
101	640	5639
102	642	5598
103	645	5559
104	647	5521
105	650	5483
106	652	5445
107	654	5408
108	657	5372
109	659	5336
110	662	5301
111	664	5267
112	666	5234
113	669	5201
114	671	5169
115	674	5138
116	676	5108
117	679	5078
118	682	5049
119	684	5020
120	687	4992
121	689	4964
122	692	4936
123	695	4909
124	697	4882
125	699	4855
126	702	4830
127	705	4803
128	707	4778
129	710	4754
130	713	4730
131	715	4704
132	717	4680
133	720	4654
134	722	4630
135	725	4607
136	727	4585
137	730	4562
138	733	4540
139	735	4517
140	737	4495
141	740	4473
142	742	4451
143	745	4428
144	747	4407
145	749	4384
146	752	4364
147	754	4344
148	757	4323
149	759	4303
150	761	4283
151	764	4263
152	766	4243
153	768	4224
154	771	4204
155	773	4185
156	776	4166
157	778	4147
158	780	4129
159	783	4111
160	785	4093
161	788	4076
162	790	4059
163	792	4041
164	795	4023
165	797	4007
166	800	3994
167	803	3977
168	805	3961
169	808	3944
170	810	3928
171	812	3912
172	815	3896
173	817	3880
174	819	3864
175	822	3848
176	824	3833
177	826	3817
178	829	3802
179	831	3787
180	833	3772
181	836	3757
182	838	3742
183	840	3728
184	843	3714
185	845	3701
186	848	3688
187	850	3675
188	853	3661
189	855	3648
190	858	3634
191	860	3621
192	862	3608
193	865	3595
194	867	3581
195	870	3568
196	872	3555
197	874	3542
198	876	3530
199	879	3517
200	882	3506
201	884	3494
202	887	3483
203	889	3471
204	891	3459
205	894	3447
206	896	3435
207	899	3424
208	901	3412
209	904	3401
210	906	3389
211	909	3378
212	911	3367
213	913	3356
214	916	3345
215	918	3334
216	921	3324
217	923	3314
218	926	3303
219	929	3294
220	931	3285
221	934	3275
222	937	3266
223	940	3257
224	942	3247
225	945	3238
226	947	3227
227	950	3217
228	952	3207
229	955	3197
230	957	3187
231	959	3177
232	962	3167
233	964	3157
234	966	3147
235	969	3137
236	971	3128
237	974	3119
238	977	3110
239	979	3102
240	982	3092
241	984	3084
242	987	3075
243	989	3065
244	991	3056
245	994	3047
246	997	3040
247	999	3031
248	1002	3022
249	1004	3014
250	1007	3005
251	1009	2997
252	1012	2988
253	1014	2980
254	1017	2971
255	1021	2967
256	1023	2960
257	1026	2952
258	1029	2944
259	1031	2935
260	1034	2927
261	1036	2919
262	1038	2911
263	1041	2902
264	1043	2894
265	1045	2886
266	1048	2877
267	1050	2869
268	1053	2861
269	1055	2854
270	1058	2846
271	1060	2837
272	1062	2829
273	1065	2821
274	1067	2814
275	1069	2806
276	1072	2798
277	1074	2791
278	1077	2783
279	1079	2776
280	1081	2768
281	1084	2760
282	1086	2752
283	1089	2745
284	1091	2737
285	1093	2730
286	1096	2723
287	1099	2718
288	1102	2711
289	1104	2704
290	1106	2696
291	1109	2689
292	1111	2682
293	1113	2674
294	1116	2667
295	1118	2659
296	1120	2652
297	1122	2645
298	1125	2638
299	1127	2631
300	1130	2625
301	1132	2618
302	1135	2611
303	1137	2604
304	1140	2598
305	1142	2591
306	1144	2584
307	1147	2577
308	1149	2571
309	1152	2564
310	1154	2557
311	1156	2550
312	1159	2544
313	1161	2537
314	1163	2531
315	1166	2524
316	1168	2518
317	1171	2511
318	1173	2505
319	1176	2499
320	1178	2493
321	1181	2487
322	1183	2480
323	1186	2474
324	1188	2468
325	1190	2461
326	1193	2456
327	1195	2450
328	1198	2443
329	1200	2437
330	1202	2431
331	1205	2425
332	1207	2418
333	1210	2412
334	1212	2406
335	1214	2400
336	1217	2394
337	1219	2388
338	1222	2383
339	1224	2377
340	1227	2371
341	1229	2366
342	1232	2360
343	1235	2355
344	1237	2349
345	1239	2343
346	1242	2338
347	1244	2332
348	1247	2326
349	1249	2320
350	1251	2314
351	1254	2308
352	1256	2302
353	1258	2297
354	1261	2291
355	1263	2285
356	1266	2280
357	1268	2274
358	1270	2268
359	1273	2263
360	1275	2257
361	1277	2252
362	1280	2246
363	1282	2240
364	1284	2235
365	1287	2229
366	1289	2224
367	1292	2219
368	1294	2214
369	1297	2208
370	1299	2203
371	1301	2197
372	1304	2192
373	1306	2186
374	1308	2181
375	1311	2176
376	1313	2170
377	1315	2165
378	1318	2160
379	1320	2154
380	1323	2149
381	1325	2144
382	1327	2138
383	1330	2133
384	1332	2128
385	1334	2123
386	1337	2118
387	1339	2113
388	1341	2107
389	1344	2103
390	1347	2098
391	1349	2093
392	1352	2088
393	1354	2083
394	1356	2078
395	1359	2073
396	1361	2067
397	1363	2062
398	1366	2057
399	1368	2052
400	1370	2047
401	1373	2042
402	1375	2038
403	1378	2033
404	1380	2028
405	1383	2023
406	1385	2019
407	1388	2014
408	1391	2010
409	1393	2005
410	1396	2000
411	1398	1996
412	1401	1991
413	1403	1986
414	1406	1982
415	1408	1977
416	1411	1972
417	1413	1968
418	1415	1963
419	1418	1958
420	1421	1954
421	1423	1949
422	1426	1945
423	1428	1940
424	1430	1935
425	1433	1930
426	1435	1926
427	1437	1921
428	1440	1917
429	1443	1912
430	1445	1908
431	1448	1904
432	1450	1899
433	1453	1895
434	1455	1890
435	1458	1886
436	1460	1881
437	1462	1877
438	1465	1872
439	1467	1868
440	1470	1863
441	1472	1859
442	1475	1855
443	1477	1850
444	1480	1846
445	1483	1843
446	1487	1840
447	1494	1841
448	1500	1841
449	1504	1838
450	1507	1834
451	1510	1831
452	1513	1827
453	1515	1822
454	1521	1822
455	1524	1818
456	1527	1814
457	1530	1811
458	1532	1806
459	1535	1802
460	1538	1799
461	1541	1795
462	1544	1791
463	1547	1788
464	1550	1783
465	1552	1779
466	1555	1775
467	1557	1770
468	1563	1770
469	1566	1766
470	1569	1762
471	1572	1759
472	1576	1756
473	1579	1752
474	1582	1748
475	1584	1744
476	1588	1741
477	1591	1738
478	1596	1736
479	1606	1740
480	1610	1738
481	1618	1739
482	1625	1739
483	1631	1739
484	1638	1739
485	1645	1739
486	1650	1738
487	1655	1737
488	1662	1737
489	1668	1736
490	1674	1736
491	1681	1736
492	1684	1732
493	1687	1728
494	1689	1724
495	1692	1719
496	1694	1715
497	1697	1710
498	1699	1706
499	1702	1702
500	1704	1697
501	1706	1693
502	1709	1688
503	1711	1684
504	1714	1680
505	1716	1675
506	1719	1671
507	1721	1667
508	1724	1663
509	1726	1658
510	1728	1654
511	1731	1649
512	1733	1645
513	1735	1641
514	1738	1637
515	1740	1632
516	1743	1628
517	1745	1624
518	1748	1620
519	1750	1616
520	1753	1612
521	1755	1607
522	1758	1603
523	1760	1599
524	1763	1595
525	1765	1591
526	1768	1587
527	1771	1583
528	1773	1579
529	1776	1575
530	1779	1571
531	1781	1567
532	1784	1563
533	1787	1559
534	1789	1555
535	1792	1551
536	1794	1547
537	1796	1543
538	1799	1538
539	1801	1534
540	1803	1530
541	1806	1526
542	1808	1522
543	1811	1518
544	1813	1514
545	1816	1510
546	1818	1506
547	1821	1502
548	1823	1497
549	1825	1493
550	1828	1489
551	1830	1485
552	1832	1481
553	1835	1477
554	1837	1473
555	1839	1469
556	1842	1465
557	1844	1461
558	1847	1457
559	1849	1453
560	1851	1449
561	1854	1445
562	1856	1441
563	1859	1437
564	1861	1433
565	1864	1429
566	1866	1425
567	1869	1421
568	1871	1417
569	1873	1413
570	1876	1409
571	1878	1405
572	1880	1401
573	1883	1397
574	1885	1393
575	1887	1389
576	1890	1385
577	1892	1381
578	1894	1377
579	1897	1374
580	1899	1370
581	1906	1369
582	1910	1366
583	1912	1362
584	1915	1358
585	1917	1354
586	1920	1350
587	1922	1347
588	1924	1343
589	1927	1339
590	1929	1335
591	1931	1331
592	1934	1327
593	1936	1323
594	1938	1319
595	1941	1315
596	1943	1312
