iter	Passed	Remaining
0	4	4210
1	7	3797
2	11	3700
3	14	3528
4	17	3440
5	20	3381
6	23	3340
7	26	3309
8	29	3278
9	32	3258
10	36	3240
11	38	3203
12	41	3183
13	45	3222
14	49	3240
15	52	3229
16	55	3222
17	58	3213
18	62	3205
19	65	3194
20	68	3212
21	72	3207
22	75	3196
23	78	3185
24	81	3176
25	84	3164
26	87	3152
27	90	3155
28	94	3151
29	97	3147
30	100	3138
31	103	3137
32	106	3129
33	109	3124
34	113	3118
35	116	3113
36	119	3106
37	122	3102
38	130	3227
39	134	3221
40	136	3196
41	139	3188
42	143	3185
43	146	3178
44	149	3173
45	152	3165
46	155	3146
47	158	3141
48	161	3135
49	164	3129
50	169	3144
51	172	3137
52	175	3134
53	178	3129
54	181	3122
55	184	3116
56	187	3109
57	191	3102
58	194	3096
59	197	3089
60	200	3084
61	203	3079
62	206	3077
63	210	3074
64	213	3069
65	216	3069
66	220	3065
67	223	3060
68	226	3053
69	229	3048
70	232	3042
71	235	3036
72	238	3029
73	241	3025
74	245	3023
75	248	3022
76	251	3016
77	254	3010
78	257	3005
79	260	3000
80	264	2995
81	267	2989
82	270	2984
83	273	2980
84	276	2975
85	279	2970
86	282	2964
87	285	2961
88	288	2955
89	291	2951
90	295	2952
91	298	2946
92	301	2942
93	304	2937
94	307	2932
95	310	2927
96	314	2925
97	317	2920
98	320	2915
99	323	2910
100	326	2906
101	329	2902
102	332	2897
103	335	2893
104	338	2888
105	342	2887
106	347	2898
107	353	2923
108	361	2954
109	369	2991
110	373	2992
111	376	2988
112	380	2983
113	383	2978
114	386	2972
115	389	2968
116	392	2963
117	395	2957
118	398	2953
119	404	2964
120	408	2967
121	416	2993
122	423	3016
123	431	3050
124	438	3070
125	446	3099
126	459	3157
127	464	3165
128	473	3194
129	480	3212
130	488	3239
131	497	3270
132	506	3301
133	513	3318
134	519	3329
135	524	3333
136	528	3326
137	531	3319
138	534	3312
139	538	3309
140	542	3303
141	545	3298
142	549	3290
143	553	3288
144	557	3285
145	561	3283
146	565	3280
147	569	3280
148	573	3274
149	578	3275
150	581	3267
151	584	3259
152	587	3252
153	590	3244
154	593	3236
155	596	3227
156	599	3221
157	602	3212
158	605	3204
159	609	3197
160	612	3189
161	615	3182
162	618	3175
163	621	3166
164	624	3159
165	627	3152
166	630	3145
167	633	3137
168	636	3131
169	639	3124
170	645	3130
171	649	3124
172	652	3117
173	655	3110
174	658	3104
175	661	3096
176	664	3087
177	666	3079
178	669	3072
179	672	3064
180	675	3056
181	678	3048
182	681	3040
183	683	3031
184	686	3023
185	689	3017
186	692	3009
187	694	3001
188	697	2993
189	700	2987
190	703	2981
191	706	2973
192	709	2966
193	712	2959
194	715	2951
195	718	2945
196	720	2938
197	723	2931
198	727	2929
199	730	2923
200	733	2917
201	736	2910
202	740	2905
203	742	2898
204	745	2891
205	748	2884
206	751	2877
207	754	2872
208	757	2865
209	760	2859
210	762	2852
211	764	2842
212	767	2835
213	770	2828
214	772	2822
215	775	2815
216	778	2808
217	781	2802
218	784	2796
219	786	2789
220	789	2783
221	792	2777
222	795	2771
223	798	2765
224	800	2758
225	803	2752
226	806	2746
227	809	2739
228	812	2733
229	814	2727
230	817	2721
231	820	2715
232	823	2710
233	825	2703
234	828	2698
235	831	2692
236	834	2686
237	837	2681
238	840	2677
239	843	2671
240	847	2669
241	852	2668
242	856	2668
243	861	2670
244	864	2665
245	867	2659
246	870	2653
247	873	2648
248	876	2642
249	878	2636
250	881	2631
251	884	2625
252	887	2619
253	890	2614
254	892	2608
255	895	2602
256	898	2597
257	901	2592
258	904	2586
259	906	2581
260	909	2576
261	912	2570
262	915	2565
263	918	2560
264	921	2554
265	923	2549
266	926	2544
267	929	2538
268	932	2534
269	935	2528
270	938	2524
271	941	2519
272	944	2514
273	946	2509
274	949	2504
275	952	2499
276	955	2493
277	959	2491
278	962	2486
279	965	2481
280	967	2476
281	970	2471
282	975	2471
283	978	2466
284	981	2461
285	984	2456
286	986	2451
287	989	2446
288	992	2441
289	995	2436
290	997	2431
291	1000	2426
292	1003	2421
293	1006	2416
294	1009	2411
295	1011	2406
296	1014	2401
297	1017	2395
298	1019	2390
299	1022	2385
300	1025	2380
301	1027	2375
302	1030	2371
303	1033	2366
304	1036	2361
305	1039	2356
306	1041	2352
307	1044	2347
308	1047	2342
309	1050	2337
310	1053	2333
311	1056	2329
312	1059	2325
313	1062	2320
314	1065	2316
315	1067	2311
316	1070	2307
317	1073	2302
318	1076	2297
319	1079	2293
320	1081	2288
321	1084	2284
322	1087	2279
323	1090	2274
324	1093	2270
325	1095	2265
326	1098	2260
327	1101	2256
328	1104	2251
329	1106	2247
330	1110	2243
331	1112	2238
332	1115	2234
333	1118	2229
334	1120	2225
335	1123	2220
336	1126	2216
337	1129	2212
338	1132	2207
339	1135	2203
340	1138	2199
341	1140	2195
342	1143	2190
343	1146	2186
344	1149	2181
345	1152	2177
346	1154	2173
347	1157	2168
348	1160	2164
349	1162	2159
350	1165	2155
351	1168	2150
352	1170	2146
353	1173	2141
354	1176	2137
355	1179	2133
356	1182	2129
357	1184	2124
358	1187	2120
359	1190	2116
360	1193	2112
361	1196	2108
362	1201	2108
363	1209	2113
364	1214	2112
365	1218	2110
366	1230	2122
367	1242	2133
368	1245	2130
369	1254	2135
370	1257	2131
371	1260	2127
372	1270	2135
373	1275	2135
374	1278	2131
375	1282	2128
376	1285	2123
377	1288	2120
378	1297	2125
379	1300	2121
380	1303	2117
381	1308	2117
382	1311	2113
383	1315	2110
384	1318	2105
385	1321	2102
386	1324	2098
387	1328	2095
388	1331	2091
389	1335	2088
390	1338	2084
391	1341	2081
392	1346	2078
393	1350	2076
394	1353	2073
395	1356	2069
396	1360	2066
397	1363	2062
398	1366	2059
399	1369	2054
400	1406	2100
401	1413	2102
402	1421	2106
403	1425	2103
404	1430	2100
405	1433	2097
406	1437	2093
407	1440	2090
408	1444	2087
409	1448	2084
410	1451	2079
411	1455	2077
412	1458	2072
413	1464	2072
414	1469	2071
415	1472	2067
416	1475	2062
417	1479	2059
418	1482	2056
419	1486	2052
420	1489	2048
421	1493	2045
422	1496	2041
423	1499	2036
424	1515	2049
425	1523	2053
426	1527	2049
427	1531	2046
428	1536	2044
429	1540	2041
430	1544	2039
431	1547	2034
432	1551	2031
433	1555	2028
434	1559	2025
435	1562	2021
436	1566	2018
437	1570	2015
438	1573	2011
439	1577	2007
440	1580	2003
441	1583	1999
442	1587	1995
443	1590	1991
444	1594	1988
445	1597	1984
446	1600	1980
447	1604	1977
448	1607	1972
449	1615	1974
450	1623	1976
451	1638	1986
452	1645	1987
453	1671	2009
454	1680	2012
455	1684	2009
456	1687	2004
457	1691	2001
458	1694	1996
459	1697	1992
460	1699	1987
461	1702	1982
462	1705	1977
463	1708	1973
464	1710	1968
465	1713	1963
466	1716	1959
467	1719	1954
468	1721	1949
469	1724	1944
470	1727	1940
471	1730	1935
472	1733	1930
473	1735	1926
474	1738	1921
475	1741	1916
476	1743	1912
477	1746	1907
478	1749	1902
479	1752	1898
480	1754	1893
481	1757	1889
482	1760	1884
483	1763	1879
484	1765	1875
485	1768	1870
486	1771	1866
487	1774	1861
488	1777	1856
489	1779	1852
490	1782	1847
491	1785	1843
492	1787	1838
493	1790	1834
494	1793	1829
495	1796	1825
496	1798	1820
497	1801	1816
498	1804	1811
499	1807	1807
500	1810	1803
501	1813	1798
502	1815	1794
503	1818	1789
504	1821	1785
505	1825	1782
506	1829	1779
507	1833	1775
508	1836	1771
509	1840	1767
510	1842	1763
511	1845	1759
512	1848	1754
513	1851	1750
514	1853	1745
515	1856	1741
516	1859	1736
517	1861	1732
518	1864	1728
519	1867	1723
520	1870	1719
521	1873	1715
522	1875	1710
523	1878	1706
524	1881	1702
525	1884	1697
